season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goalkeeping__saves,goalkeeping__goals_conceded,goalkeeping__own_goal_conceded,goalkeeping__saves_on_penalty,goalkeeping__clean_sheet,goalkeeping__punches,goalkeeping__matches_appearance
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,17,,,2.0,,6
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,15,1.0,,1.0,,6
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,,15,,,3.0,,12
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,15,,,3.0,,12
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,,15,,,1.0,,6
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,15,,,,,6
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,,14,1.0,,2.0,,6
2000,59044,DEP,Deportivo,Deportivo,Spain,España,,14,,,4.0,,14
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,13,,,5.0,,14
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,13,,,3.0,,12
2000,50058,MIL,Milan,Milan,Italy,Italia,,13,,,3.0,,12
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,13,,,,,6
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,12,,,8.0,,17
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,12,,,2.0,,6
2000,50139,JUV,Juventus,Juventus,Italy,Italia,,12,,,1.0,,6
2000,5312,LYO,Lyon,Lyon,France,Francia,,10,,,4.0,,12
2000,50023,MON,Monaco,Monaco,France,Francia,,10,,,1.0,,6
2000,52268,VAL,Valencia,Valencia,Spain,España,,9,,,9.0,,17
2000,50080,BAR,Barcelona,Barcelona,Spain,España,,9,,,2.0,,6
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,,9,,,1.0,,6
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,,9,,,1.0,,6
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,,9,,,1.0,,6
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,8,,,2.0,,6
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,,7,,,3.0,,6
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,5,,,2.0,,6
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,28,,,2.0,,17
2001,59044,DEP,Deportivo,Deportivo,Spain,España,,19,,,4.0,,14
2001,50080,BAR,Barcelona,Barcelona,Spain,España,,17,,,5.0,,16
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,17,,,,,12
2001,50139,JUV,Juventus,Juventus,Italy,Italia,,16,,,5.0,,12
2001,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,16,,,,,6
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,,15,,,2.0,,12
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,,14,,,7.0,,17
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,14,,,7.0,,16
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,14,,,7.0,,14
2001,52693,NAN,Nantes,Nantes,France,Francia,,14,,,3.0,,12
2001,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,14,,,,,6
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,13,,,6.0,,12
2001,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,13,,,1.0,,6
2001,50064,POR,Porto,Porto,Portugal,Portugal,,12,,,4.0,,12
