season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
2001,50062,PSV,PSV,PSV,Netherlands,Holanda,6,,,,,,,6
2001,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,,,,,,,6
2001,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,5,,,,,,,6
2001,53044,MAL,Mallorca,Mallorca,Spain,España,4,,,,,,1.0,6
2001,52973,LAZ,Lazio,Lazio,Italy,Italia,4,,,,,,1.0,6
2001,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,4,,,,,,1.0,6
2001,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,4,,,,,,,6
2001,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,3,,,,,,,6
2002,50051,RMA,Real Madrid,Real Madrid,Spain,España,33,,,,,,1.0,16
2002,52682,MUN,Man Utd,Man Utd,England,Inglaterra,32,,,,,,1.0,14
2002,50139,JUV,Juventus,Juventus,Italy,Italia,30,,,,,,1.0,17
2002,50080,BAR,Barcelona,Barcelona,Spain,España,27,,,,,,,14
2002,50138,INT,Inter,Inter,Italy,Italia,26,,,,,,,16
2002,52268,VAL,Valencia,Valencia,Spain,España,24,,,,,,1.0,14
2002,50058,MIL,Milan,Milan,Italy,Italia,21,,,,,,1.0,17
2002,59044,DEP,Deportivo,Deportivo,Spain,España,18,,,,,,,12
2002,59856,BSL,Basel,Basel,Switzerland,Suiza,17,,,,,,,12
2002,59324,NEW,Newcastle,Newcastle,England,Inglaterra,16,,,,,,2.0,12
2002,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,16,,,,,,1.0,12
2002,52280,ARS,Arsenal,Arsenal,England,Inglaterra,15,,,,,,,12
2002,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,14,,,,,,2.0,12
2002,50143,AJX,Ajax,Ajax,Netherlands,Holanda,14,,,,,,,14
2002,59045,MHA,Maccabi Haifa,Maccabi Haifa,Israel,Israel,12,,,,,,2.0,6
2002,7889,LIV,Liverpool,Liverpool,England,Inglaterra,12,,,,,,,6
2002,5312,LYO,Lyon,Lyon,France,Francia,12,,,,,,,6
2002,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,11,,,,,,1.0,6
2002,52277,LEN,Lens,Lens,France,Francia,11,,,,,,,6
2002,50137,ROM,Roma,Roma,Italy,Italia,10,,,,,,,12
2002,50037,BAY,Bayern München,Bayern München,Germany,Alemania,9,,,,,,,6
2002,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,8,,,,,,,12
2002,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,7,,,,,,,6
2002,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,6,,,,,,,6
2002,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,5,,,,,,1.0,6
2002,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,5,,,,,,,6
2002,50062,PSV,PSV,PSV,Netherlands,Holanda,5,,,,,,,6
2002,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,4,,,,,,1.0,6
2002,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,4,,,,,,,6
2002,52269,AJA,Auxerre,Auxerre,France,Francia,4,,,,,,,6
2002,61582,GEN,Genk,Genk,Belgium,Bélgica,2,,,,,,,6
2002,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,1,,,,,,,6
2003,50023,MON,Monaco,Monaco,France,Francia,27,,,4.0,25.0,2.0,,13
